date,ticker,sector,headline_count,word_count,finance_term_count,sentiment_model,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_score
2020-01-02,ABBV,Healthcare,3,19,2,finance_lexicon_baseline,0.0,0.8947368421052632,0.10526315789473684,1.0
2020-01-02,ABT,Healthcare,4,43,1,finance_lexicon_baseline,0.0,0.9767441860465116,0.023255813953488372,1.0
2020-01-02,AMD,Tech,13,155,3,finance_lexicon_baseline,0.0,0.9483870967741935,0.05161290322580645,1.0
2020-01-02,AMGN,Healthcare,7,86,2,finance_lexicon_baseline,0.011627906976744186,0.9651162790697675,0.023255813953488372,0.3333333333333333
2020-01-02,AMT,RealEstate,2,24,0,finance_lexicon_baseline,0.041666666666666664,0.9583333333333334,0.0,-1.0
2020-01-02,BA,Industrials,5,37,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-02,CAT,Industrials,1,10,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-02,COP,Energy,1,12,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-02,CVX,Energy,2,18,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-02,DD,Materials,2,15,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-02,DIS,Consumer,7,72,2,finance_lexicon_baseline,0.0,0.9722222222222222,0.027777777777777776,1.0
2020-01-02,DOW,Materials,3,22,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-02,EA,Comm,3,24,1,finance_lexicon_baseline,0.0,0.9583333333333334,0.041666666666666664,1.0
2020-01-02,GE,Industrials,4,30,0,finance_lexicon_baseline,0.0,0.9666666666666667,0.03333333333333333,1.0
2020-01-02,GILD,Healthcare,3,32,1,finance_lexicon_baseline,0.0,0.9375,0.0625,1.0
2020-01-02,GS,Financials,1,7,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-02,INTC,Tech,5,47,1,finance_lexicon_baseline,0.0,0.9574468085106383,0.0425531914893617,1.0
2020-01-02,KO,Consumer,4,38,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-02,MMM,Industrials,2,12,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-02,MRK,Healthcare,6,88,1,finance_lexicon_baseline,0.011363636363636364,0.9659090909090909,0.022727272727272728,0.3333333333333333
2020-01-02,MS,Financials,1,6,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-02,NEE,Utilities,1,7,0,finance_lexicon_baseline,0.0,0.8571428571428572,0.14285714285714285,1.0
2020-01-02,NEM,Materials,2,25,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-02,NKE,Consumer,4,32,0,finance_lexicon_baseline,0.03125,0.96875,0.0,-1.0
2020-01-02,NVDA,Tech,1,7,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-02,O,RealEstate,1,9,0,finance_lexicon_baseline,0.0,0.8888888888888888,0.1111111111111111,1.0
2020-01-02,OXY,Energy,6,74,0,finance_lexicon_baseline,0.0,0.972972972972973,0.02702702702702703,1.0
2020-01-02,QCOM,Tech,6,90,4,finance_lexicon_baseline,0.011111111111111112,0.9555555555555556,0.03333333333333333,0.5
2020-01-02,SBUX,Consumer,3,27,0,finance_lexicon_baseline,0.037037037037037035,0.962962962962963,0.0,-1.0
2020-01-02,SLB,Energy,4,42,1,finance_lexicon_baseline,0.0,0.9523809523809523,0.047619047619047616,1.0
2020-01-02,T,Comm,5,48,0,finance_lexicon_baseline,0.0,0.9583333333333334,0.041666666666666664,1.0
2020-01-02,TMUS,Comm,2,18,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-02,TTWO,Comm,1,6,1,finance_lexicon_baseline,0.0,0.8333333333333334,0.16666666666666666,1.0
2020-01-02,UPS,Industrials,1,7,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-02,USB,Financials,2,17,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-02,V,Financials,3,20,1,finance_lexicon_baseline,0.0,0.95,0.05,1.0
2020-01-02,WFC,Financials,5,38,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-02,WMT,Consumer,4,33,1,finance_lexicon_baseline,0.0,0.9696969696969697,0.030303030303030304,1.0
2020-01-02,XOM,Energy,8,78,0,finance_lexicon_baseline,0.01282051282051282,0.9743589743589743,0.01282051282051282,0.0
2020-01-03,AMD,Tech,8,67,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-03,AMT,RealEstate,3,24,1,finance_lexicon_baseline,0.041666666666666664,0.9166666666666666,0.041666666666666664,0.0
2020-01-03,BA,Industrials,1,6,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-03,CAT,Industrials,2,25,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-03,CCI,RealEstate,1,10,1,finance_lexicon_baseline,0.0,0.9,0.1,1.0
2020-01-03,CMCSA,Comm,1,8,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-03,COP,Energy,2,48,0,finance_lexicon_baseline,0.0,0.9583333333333334,0.041666666666666664,1.0
2020-01-03,CVX,Energy,4,27,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-03,DIS,Consumer,4,33,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-03,DUK,Utilities,1,10,1,finance_lexicon_baseline,0.0,0.8,0.2,1.0
2020-01-03,GE,Industrials,2,17,1,finance_lexicon_baseline,0.058823529411764705,0.9411764705882353,0.0,-1.0
2020-01-03,GILD,Healthcare,4,35,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-03,INTC,Tech,7,64,1,finance_lexicon_baseline,0.0,0.984375,0.015625,1.0
2020-01-03,KO,Consumer,1,15,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-03,MMM,Industrials,2,28,0,finance_lexicon_baseline,0.03571428571428571,0.9642857142857143,0.0,-1.0
2020-01-03,MRK,Healthcare,2,13,1,finance_lexicon_baseline,0.0,0.9230769230769231,0.07692307692307693,1.0
2020-01-03,MS,Financials,2,38,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-03,NEE,Utilities,3,22,1,finance_lexicon_baseline,0.0,0.9090909090909091,0.09090909090909091,1.0
2020-01-03,NEM,Materials,2,46,1,finance_lexicon_baseline,0.021739130434782608,0.9347826086956522,0.043478260869565216,0.3333333333333333
2020-01-03,NKE,Consumer,2,20,0,finance_lexicon_baseline,0.05,0.9,0.05,0.0
2020-01-03,NUE,Materials,1,8,2,finance_lexicon_baseline,0.0,0.625,0.375,1.0
2020-01-03,NVDA,Tech,1,7,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
2020-01-03,OXY,Energy,5,60,0,finance_lexicon_baseline,0.0,0.9666666666666667,0.03333333333333333,1.0
2020-01-03,PSA,RealEstate,1,8,0,finance_lexicon_baseline,0.0,1.0,0.0,0.0
