fund,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,total_return,average_turnover,total_transaction_cost
Equity Risk Parity,0.09799192369780108,0.14583434530464331,0.6719399568949211,-0.18680470579040553,0.3222516384115801,0.003048194905182846,0.002295290763602683
Equity Sentiment Tilt,0.10078910087412485,0.14600005934864901,0.6903360267370843,-0.18270406739441225,0.33234251062032727,0.0061057921075326465,0.004597661456972083
