Fund,Ann. return (%),Ann. volatility (%),Sharpe,Max drawdown (%),Total return (%),Avg daily turnover,Total cost (%)
Combined Risk Parity,13.649075286282164,16.039634171515353,0.850959263804248,-19.792189414213034,46.5670073341669,0.003248774047758515,0.24463268579621616
Equity Equal Weight,12.60529521719993,16.169249461808523,0.7795844356890782,-20.321862626913546,42.58132462929425,0.0013280212483399733,0.1
Combined Max Sharpe,16.17612172436602,22.393517986622786,0.7223573238483185,-26.01179621697761,56.52201221270854,0.02394913664038305,1.8033699890208439
Combined Equal Weight,14.940543016913367,21.25248097592382,0.7030023004767761,-28.74698799026557,51.60021390557241,0.0013280212483399733,0.1
Equity Risk Parity,9.799192369780108,14.58343453046433,0.6719399568949211,-18.680470579040552,32.22516384115801,0.003048194905182846,0.2295290763602683
Crypto Min Variance,22.605125392988068,64.94794440107458,0.34804989752091464,-75.1254834663206,84.00237475668368,0.007344080569973675,0.5537436749760152
Combined Min Variance,4.321537700353528,12.804555007155946,0.33750003010166274,-15.833418104052143,13.475786615997599,0.013257731635560769,0.9983071921577259
Equity Min Variance,4.252652109536936,12.773373860334225,0.3329309981870101,-15.54851031868555,13.25203460505584,0.013184038073011923,0.9927580668977979
Equity Max Sharpe,4.852852322444212,17.167345126394267,0.2826792545216034,-25.59833605033922,15.21147703000032,0.02406732004775418,1.8122691995958895
Crypto Risk Parity,6.2473416946199345,72.62494082430999,0.0860219867129825,-83.60354498324062,19.879616479585316,0.0024431263777670124,0.18421172888363277
Crypto Equal Weight,2.9832334185285525,74.1938849808619,0.04020861583536256,-84.84908847925203,9.193867606913741,0.001326259946949602,0.1
Crypto Max Sharpe,-20.431389200801387,70.49749814305572,-0.2898172238586591,-88.1579938931944,-49.532349033821674,0.019581242270067478,1.4764256671630878
